polarity	name	chemical formula	neutral mass	rt (min)	protocol	file	group	area	height	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep2 Isolate_10.mzML	M94_I10	3407.008	460.944	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep3 Isolate_10.mzML	M94_I10	3320.564	480.983	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep1 Isolate_11.mzML	M94_I11	16370.96	759.259	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep2 Isolate_11.mzML	M94_I11	6520.0	566.006	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep3 Isolate_11.mzML	M94_I11	5038.436	462.084	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep1 Isolate_12.mzML	M94_I12	127335.332	3688.412	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep2 Isolate_12.mzML	M94_I12	7550.068	658.084	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep3 Isolate_12.mzML	M94_I12	94917.998	2675.708	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep1 Isolate_13.mzML	M94_I13	7861.637	513.935	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep2 Isolate_13.mzML	M94_I13	31886.804	1319.027	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep3 Isolate_13.mzML	M94_I13	7963.808	768.98	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep1 Isolate_14.mzML	M94_I14	234189.693	6655.949	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep2 Isolate_14.mzML	M94_I14	139371.207	3936.135	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep3 Isolate_14.mzML	M94_I14	2722.437	273.302	
