	rt (min)		(+)	(-)	neutral mass	formula	name		area	polarity	group	group
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	YE_C_2	1027	pos	YE_C	YE_Ctr
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	YE_C_3	168	pos	YE_C	YE_Ctr
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	YE_C_4	1283	pos	YE_C	YE_Ctr
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	YE_S_1	18952	pos	YE_S	YE_Syn
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	YE_S_2	18695	pos	YE_S	YE_Syn
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	YE_S_3	16374	pos	YE_S	YE_Syn
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	YE_S_4	29589	pos	YE_S	YE_Syn
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	SE_C_1	3401	pos	SE_C	SE_Ctr
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	SE_C_2	3708	pos	SE_C	SE_Ctr
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	SE_C_3	3475	pos	SE_C	SE_Ctr
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	SE_C_4	4041	pos	SE_C	SE_Ctr
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	SE_S_1	30484	pos	SE_S	SE_Syn
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	SE_S_2	40752	pos	SE_S	SE_Syn
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	SE_S_3	43800	pos	SE_S	SE_Syn
8	6.77	0.03	296.136		295.1287	C12H17N5O4	(Dimethyladenosine)	SE_S_4	40422	pos	SE_S	SE_Syn
9	6.78	0.03	298.0971		297.0898	C11H15N5O3S	Methylthioadenosine	Min_C_1		pos	Min_C	Min_Ctr
